objectid,address,building_historical_name,building_current_name,architect,builder,developer,significant_owner,style_primary,style_secondary,form,construction_decade,construction_year,construction_year_certainty,construction_year_source,resource_rating,is_individually_eligible,local_landmark,local_listed_district,local_listing,nr_landmark,nr_listed_individually,nr_listed_district,nr_listing,eligibility_remarks,previous_survey_name,historical_summary,notes,references,image_url,form_url,latitude,longitude,historic_district
2643,801 FAIR OAKS AVE,,,,Julius Linder,,C. M. Austin,Prairie School,Colonial Revival,,1910-1919,1913,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1972",No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1973",,"Frank Lloyd Wright-Prairie School of Architecture Historic Resources Survey, 2006",,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17606__ILLINOIS_COOK__(801-Fair-Oaks-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17606__ILLINOIS_COOK__(801-Fair-Oaks-Ave).pdf,41.9000131,-87.7886687,Frank Lloyd Wright
2644,806 FAIR OAKS AVE,,,,W. C. Franck,,Edward Marshall,Prairie School,,,1910-1919,1912,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1972",No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1973",,"Frank Lloyd Wright-Prairie School of Architecture Historic Resources Survey, 2006",,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17607__ILLINOIS_COOK__(806-Fair-Oaks-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17607__ILLINOIS_COOK__(806-Fair-Oaks-Ave).pdf,41.9001559,-87.7879196,Frank Lloyd Wright
2645,810 FAIR OAKS AVE,,,,W. C. Franck,,C. W. Rubner,Colonial Revival,Prairie School,,1910-1919,1912,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1972",No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1973",,"Frank Lloyd Wright-Prairie School of Architecture Historic Resources Survey, 2006",,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17609__ILLINOIS_COOK__(810-Fair-Oaks-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17609__ILLINOIS_COOK__(810-Fair-Oaks-Ave).pdf,41.9003036,-87.787961,Frank Lloyd Wright
2646,811 FAIR OAKS AVE,,,,Buettner and Buttendorf,,John F. McDonald,Prairie School,,foursquare,1910-1919,1914,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1972",No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1973",,"Frank Lloyd Wright-Prairie School of Architecture Historic Resources Survey, 2006",,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17617__ILLINOIS_COOK__(811-Fair-Oaks-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17617__ILLINOIS_COOK__(811-Fair-Oaks-Ave).pdf,41.9002738,-87.7886429,Frank Lloyd Wright
2647,814 FAIR OAKS AVE,,,,,,William Hosford,Prairie School,,,1910-1919,1912,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1972",No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1973",,"Frank Lloyd Wright-Prairie School of Architecture Historic Resources Survey, 2006",,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17610__ILLINOIS_COOK__(814-Fair-Oaks-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17610__ILLINOIS_COOK__(814-Fair-Oaks-Ave).pdf,41.9004334,-87.7879421,Frank Lloyd Wright
2648,815 FAIR OAKS AVE,,,,Jacob Derwitt,,B. L. Rawter,Prairie School,Colonial Revival,,1910-1919,1912,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1972",No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1973",,"Frank Lloyd Wright-Prairie School of Architecture Historic Resources Survey, 2006",,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17618__ILLINOIS_COOK__(815-Fair-Oaks-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17618__ILLINOIS_COOK__(815-Fair-Oaks-Ave).pdf,41.9004115,-87.7886333,Frank Lloyd Wright
2649,818 FAIR OAKS AVE,O. W. Rylach House,,"Charles E. White, Jr.",,,O. W. Rylach,Prairie School,,,1910-1919,1912,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1972",No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1973",,"Oak Park Survey, 1970",,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17454__ILLINOIS_COOK__(818-Fair-Oaks-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17454__ILLINOIS_COOK__(818-Fair-Oaks-Ave).pdf,41.9005564,-87.7879514,Frank Lloyd Wright
2650,822 FAIR OAKS AVE,,O. N. Rubeck House,"Charles E. White, Jr.",W. C. Franck,,O. N. Rubeck,Craftsman,,,1910-1919,1913,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1972",No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1973",,"Oak Park Survey, 1970",,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17455__ILLINOIS_COOK__(822-Fair-Oaks-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17455__ILLINOIS_COOK__(822-Fair-Oaks-Ave).pdf,41.900708,-87.787927,Frank Lloyd Wright
2651,823 FAIR OAKS AVE,Harry G. Horder House,,John S. Van Bergen,G. S. Durhren,,Harry G. Horder,Prairie School,,,1910-1919,1914,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1972",No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1973",,"Frank Lloyd Wright-Prairie School of Architecture Historic Resources Survey, 2006",,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17620__ILLINOIS_COOK__(823-Fair-Oaks-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17620__ILLINOIS_COOK__(823-Fair-Oaks-Ave).pdf,41.9006838,-87.7886871,Frank Lloyd Wright
2652,827 FAIR OAKS AVE,A. C. Donnell House,,"Charles E. White, Jr.",W. C. Franck,,A. C. Donnell,Prairie School,,,1910-1919,1912,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1972",No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1973",,"Oak Park Survey, 1970",,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17456__ILLINOIS_COOK__(827-Fair-Oaks-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17456__ILLINOIS_COOK__(827-Fair-Oaks-Ave).pdf,41.9008348,-87.7886693,Frank Lloyd Wright
2653,830 FAIR OAKS AVE,,,,Ed Johnson,,Ed Johnson,Colonial Revival,,,1910-1919,1913,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1972",No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1973",,"Frank Lloyd Wright-Prairie School of Architecture Historic Resources Survey, 2006",,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17611__ILLINOIS_COOK__(830-Fair-Oaks-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17611__ILLINOIS_COOK__(830-Fair-Oaks-Ave).pdf,41.9009932,-87.7879561,Frank Lloyd Wright
2654,831 FAIR OAKS AVE,,,Ernest Braucher,,,W. C. Franck,Prairie School,,foursquare,1910-1919,1919,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1972",No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1973",,"Oak Park Survey, 1970",,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17457__ILLINOIS_COOK__(831-Fair-Oaks-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17457__ILLINOIS_COOK__(831-Fair-Oaks-Ave).pdf,41.9009731,-87.788678,Frank Lloyd Wright
2655,834 FAIR OAKS AVE,,,,G. Johnson,,G. Johnson,Craftsman,,,1910-1919,1913,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1972",No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1973",,"Oak Park Survey, 1970",2014 alterations and additions completed by Baronger Group.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17458__ILLINOIS_COOK__(834-Fair-Oaks-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17458__ILLINOIS_COOK__(834-Fair-Oaks-Ave).pdf,41.9011273,-87.7879604,Frank Lloyd Wright
2656,835 FAIR OAKS AVE,,,,,,,Prairie School,Colonial Revival,foursquare,1910-1919,1916,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1972",No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1973",,"Oak Park Survey, 1970",,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17459__ILLINOIS_COOK__(835-Fair-Oaks-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17459__ILLINOIS_COOK__(835-Fair-Oaks-Ave).pdf,41.9011094,-87.7886578,Frank Lloyd Wright
2657,838 FAIR OAKS AVE,,,,,,,Prairie School,,foursquare,1910-1919,1912,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1972",No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1973",,"Frank Lloyd Wright-Prairie School of Architecture Historic Resources Survey, 2006",,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17614__ILLINOIS_COOK__(838-Fair-Oaks-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17614__ILLINOIS_COOK__(838-Fair-Oaks-Ave).pdf,41.90125,-87.7879599,Frank Lloyd Wright
2658,847 FAIR OAKS AVE,,,,H. Stone,,H. Stone,Prairie School,,foursquare,1910-1919,1919,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1972",No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1973",,"Oak Park Survey, 1970",,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17461__ILLINOIS_COOK__(847-Fair-Oaks-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17461__ILLINOIS_COOK__(847-Fair-Oaks-Ave).pdf,41.9015348,-87.7886845,Frank Lloyd Wright
2659,851 FAIR OAKS AVE,,,,H. Stone,,H. Stone,Prairie School,,foursquare,1910-1919,1919,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1972",No,No,Yes,"Frank Lloyd Wright-Prairie School of Architecture, 1973",,"Frank Lloyd Wright-Prairie School of Architecture Historic Resources Survey, 2006",,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/17623__ILLINOIS_COOK__(851-Fair-Oaks-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/17623__ILLINOIS_COOK__(851-Fair-Oaks-Ave).pdf,41.9016643,-87.7886948,Frank Lloyd Wright
2660,232 FLOURNOY ST,,,,William Schultz,,W. C. Schroeder,Craftsman,,bungalow,1910-1919,917,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/1367__ILLINOIS_COOK__(232-Flournoy-St)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/1367__ILLINOIS_COOK__(232-Flournoy-St).pdf,41.8719711,-87.7808811,
2661,242 FLOURNOY ST,,,,,,,,,bungalow,1910-1919,1914,approximate,,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/1370__ILLINOIS_COOK__(242-Flournoy-St)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/1370__ILLINOIS_COOK__(242-Flournoy-St).pdf,41.8719691,-87.7812539,
2662,244 FLOURNOY ST,,,,,,,,,bungalow,1910-1919,1916,,Cook County Assessor's office,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/1371__ILLINOIS_COOK__(244-Flournoy-St)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/1371__ILLINOIS_COOK__(244-Flournoy-St).pdf,41.871983,-87.7813375,
2663,639 FOREST AVE,,,,William Boucholz,,Emily Schulz,Queen Anne,Craftsman,gable front,1910-1919,1910,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,,,The building is a Contributing Resource in the historic district. The house was constructed by William Boucholz in 1910 for owner Emily Schulz.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21020__ILLINOIS_COOK__(639-Forest-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21020__ILLINOIS_COOK__(639-Forest-Ave).pdf,41.8974828,-87.8009813,Frank Lloyd Wright
2664,649 FOREST AVE,,,,,,,Vernacular,,,1910-1919,1914,approximate,Village of Oak Park building permit archives.,Non-Contributing,No,No,No,,No,No,No,,,,The building is a Non-Contributing Resource in the historic district. The house was constructed circa 1914.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21023__ILLINOIS_COOK__(649-Forest-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21023__ILLINOIS_COOK__(649-Forest-Ave).pdf,41.8977936,-87.8010197,Frank Lloyd Wright
2665,708 FOREST AVE,,,Eben E. Roberts,Harper & Butendorff,,E. C. Amling,Prairie School,,foursquare,1910-1919,1912,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,,"source: Steiner, E. E. Roberts, A Catalog, 1973 - Prairie School Review",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/20972__ILLINOIS_COOK__(708-Forest-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/20972__ILLINOIS_COOK__(708-Forest-Ave).pdf,41.8984042,-87.8005204,Frank Lloyd Wright
2666,715 FOREST AVE,,,,Vierow Brothers,,Fred Koehl,Tudor Revival,,bungalow,1910-1919,1910,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/20973__ILLINOIS_COOK__(715-Forest-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/20973__ILLINOIS_COOK__(715-Forest-Ave).pdf,41.898533,-87.8011734,Frank Lloyd Wright
2667,738 FOREST AVE,,,,,,,Dutch Colonial Revival,,foursquare,1910-1919,1910,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/20977__ILLINOIS_COOK__(738-Forest-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/20977__ILLINOIS_COOK__(738-Forest-Ave).pdf,41.8993936,-87.800578,Frank Lloyd Wright
2668,740 FOREST AVE,,,,,,,Vernacular,,bungalow,1910-1919,1910,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/20978__ILLINOIS_COOK__(740-Forest-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/20978__ILLINOIS_COOK__(740-Forest-Ave).pdf,41.8994909,-87.8005972,Frank Lloyd Wright
2669,39 GARFIELD AVE,,,,B. Berry,,Henry E. Ferris,,,apartment/multi-unit complex,1910-1919,1912,documented,Oak Park building permits,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/2702__ILLINOIS_COOK__(39-Garfield-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/2702__ILLINOIS_COOK__(39-Garfield-Ave).pdf,41.8704232,-87.7761539,
2670,1001 GARFIELD ST,,,,Johnson Earle,,Fred Althoff,20th century commercial,,two-part commercial block,1910-1919,1910,documented,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/921__ILLINOIS_COOK__(1001-Garfield-St)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/0921__ILLINOIS_COOK__(1001-Garfield-St).pdf,41.8722767,-87.7993891,
2671,1045 GARFIELD ST,,,,Anderson Brothers,,T. C. Mueller,20th century commercial,,one-part commercial block,1910-1919,1911,documented,Village of Oak Park Building Permit Archive,Non-Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/209__ILLINOIS_COOK__(1045-Garfield-St)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/0209__ILLINOIS_COOK__(1045-Garfield-St).pdf,41.8721937,-87.8013874,
2672,629-647 GARFIELD ST,,,,Paul Schulte,,Paul Schulte,,,apartment/multi-unit complex,1910-1919,1917,,Oak Park building permits,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/337__ILLINOIS_COOK__(629-647-Garfield-St)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/0337__ILLINOIS_COOK__(629-647-Garfield-St).pdf,41.8715846,-87.790927,
2673,811 GARFIELD ST,,Perfection Auto Body,,,,,,,one-part commercial block,1910-1919,1914,,Cook County Assessor,Non-Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/1200__ILLINOIS_COOK__(811-813-Garfield-St)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/1200__ILLINOIS_COOK__(811-813-Garfield-St).pdf,41.8719939,-87.7946329,
2674,815 GARFIELD ST,,Oak Park Piano,,James Hay/W. F. Higgins,,James Hay & Son,20th century commercial,,two-part commercial block,1910-1919,1911,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/1199__ILLINOIS_COOK__(815-Garfield-St)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/1199__ILLINOIS_COOK__(815-Garfield-St).pdf,41.8720038,-87.7947676,
2675,821 GARFIELD ST,,"Hesik-Prybylo Law Partners, Eyes Rite LTD",,,,,20th century commercial,Colonial Revival,one-part commercial block,1910-1919,1911,,Cook County Assessor's office,Contributing,No,No,No,,No,No,No,,,,1960 remodeling of facade,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/1198__ILLINOIS_COOK__(821-Garfield-St)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/1198__ILLINOIS_COOK__(821-Garfield-St).pdf,41.8720239,-87.7951148,
2676,941-955 GARFIELD ST,,,,T. A. Holm,,T. A. Holm,20th Century Commercial,,two-part commercial block,1910-1919,1916,documented,Building parapet,Contributing,No,No,No,,No,No,No,,,,"The limestone parapet on the building states ""T. A. Holm"" facing both Garfield and Home, and ""1916"" on the corner.",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/922__ILLINOIS_COOK__(941-953-Garfield-St)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/0922__ILLINOIS_COOK__(941-953-Garfield-St).pdf,41.8722204,-87.7988323,
2677,210-212 N GROVE AVE,,,,William A. Pillinger,,E. C. Cook,Tudor Revival,,apartment/multi-unit complex,1910-1919,1912,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture 1973,,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/15890__ILLINOIS_COOK__(210-212-N-Grove-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/15890__ILLINOIS_COOK__(210-212-N-Grove-Ave).pdf,41.8906908,-87.795732,Frank Lloyd Wright
2678,310 N GROVE AVE,,,Eben E. Roberts,,,B. P. Horton,Prairie School,,Two-Flat,1910-1919,1910,documented,"Village of Oak Park building permit archives; E. E. Roberts: A Catalog - Frances Steiner, 1973 - Prairie School Review",Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture 1973,,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/15904__ILLINOIS_COOK__(310-N-Grove-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/15904__ILLINOIS_COOK__(310-N-Grove-Ave).pdf,41.891728,-87.7957226,Frank Lloyd Wright
2679,502 N GROVE AVE,,,Henry G. Fiddelke,Guy and McClintock,,Burton F. Hales,Tudor Revival,,Cross Gable,1910-1919,1910,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1973,,Oak Park Survey 1970,One of six houses built speculatively by Burton F. Hales,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/15958__ILLINOIS_COOK__(502-N-Grove-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/15958__ILLINOIS_COOK__(502-N-Grove-Ave).pdf,41.894569,-87.7958242,Frank Lloyd Wright
2680,506 N GROVE AVE,,,Henry G. Fiddelke,Guy and McClintock,,Burton F. Hales,Queen Anne,Prairie School,Cross Gable,1910-1919,1910,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1973,,Oak Park Survey 1970,"506 N Grove Ave was designed by architect Henry G. Fiddelke and built by Guy & McClintock in 1910 for owner Burton F. Hales. Fiddelke (1865-1931) was a prominent local architect who designed over 30 buildings in Oak Park, including seven Tudor Revival houses on N Grove Ave for Burton Hales. Fiddelke had previously designed the Hales own house, the Chateauesque Hales Mansion at 509 N Oak Park Ave, in 1904. Builders Guy & McClintock were also very active in Oak Park and built a number of Fiddelkeâ€™s designs as well as those of other prominent local architects including Frank Lloyd Wright, Eben E. Roberts, and Tallmadge & Watson. The rear enclosed porch appears to have been expanded sometime after 1950. The house otherwise appears to have had few alterations.",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/15960__ILLINOIS_COOK__(506-N-Grove-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/15960__ILLINOIS_COOK__(506-N-Grove-Ave).pdf,41.894713,-87.7958389,Frank Lloyd Wright
